sep=,
"Region","Family","Source VM","OS","CPU policy","Status","Mandatory upgrade","EOL date","Recommended VM","Source hourly","Recommended hourly","Monthly saving","Saving %","Currency","Confidence","Explanation"
"uksouth","Standard NCASv3_T4 Family","Standard_NC4as_T4_v3","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_NV6ads_A10_v5","0.4659","0.4296","26.499","7.791372","GBP","Medium","required usable CPU and memory preserved, x64 compatibility preserved, local temporary storage retained, Premium SSD supported, reduced data disk limit (4 vs 8) must be validated and 7.8% lower PAYG price."
"uksouth","standard NDAMSv4_A100Family","Standard_ND96amsr_A100_v4","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_ND96isr_H200_v5","31.033","80.3061","-35969.363","-158.776464","GBP","Medium","required usable CPU and memory preserved, x64 compatibility preserved, local temporary storage retained, Premium SSD supported and 158.8% higher PAYG price."
"uksouth","standardAv2Family","Standard_A1_v2","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","2028-11-15","Standard_F1als_v7","0.0311","0.0533","-16.206","-71.382637","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Linux supports resizing to a VM without local temporary storage and 71.4% higher PAYG price."
"uksouth","standardBasv2Family","Standard_B2ats_v2","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2ts_v2","0.008","0.0089","-0.657","-11.25","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.2% higher PAYG price."
"uksouth","standardBpsv2Family","Standard_B2pts_v2","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2pls_v2","0.0071","0.0285","-15.622","-301.408451","GBP","Medium","required usable CPU and memory preserved, Arm64 compatibility preserved, Premium SSD supported and 301.4% higher PAYG price."
"uksouth","standardBSFamily","Standard_B1ls","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","2028-11-15","Standard_F1als_v7","0.0045","0.0533","-35.624","-1084.444444","GBP","Medium","required usable CPU and memory preserved, x64 compatibility preserved, Linux supports resizing to a VM without local temporary storage, Premium SSD supported and 1084.4% higher PAYG price."
"uksouth","standardBsv2Family","Standard_B2ts_v2","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2ats_v2","0.0089","0.008","0.657","10.11236","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 10.1% lower PAYG price."
"uksouth","standardDADSv5Family","Standard_D2ads_v5","linux","same-vendor","recommended","No","","Standard_E2ads_v5","0.1606","0.1864","-18.834","-16.064757","GBP","Medium","required usable CPU and memory preserved, AMD/x64 preserved, local temporary storage retained, Premium SSD supported and 16.1% higher PAYG price."
"uksouth","standardDADSv5Family","Standard_D2ads_v5","linux","prefer-same-vendor | any-compatible","recommended","No","","Standard_D2ds_v5","0.1606","0.0992","44.822","38.231631","GBP","High","same usable CPU and memory, x64 compatibility preserved, local temporary storage retained, Premium SSD supported, newer CPU generation and 38.2% lower PAYG price."
"uksouth","StandardDadsv7Family","Standard_D2ads_v7","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_D2as_v7","0.1008","0.0803","14.965","20.337302","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 20.3% lower PAYG price."
"uksouth","standardDadv6Family","Standard_D2ads_v6","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2as_v2","0.1008","0.0644","26.572","36.111111","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 36.1% lower PAYG price."
"uksouth","StandardDaldsv7Family","Standard_D2alds_v7","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_D2als_v7","0.0841","0.0708","9.709","15.814507","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 15.8% lower PAYG price."
"uksouth","standardDaldv6Family","Standard_D2alds_v6","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2als_v2","0.0841","0.0322","37.887","61.712247","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 61.7% lower PAYG price."
"uksouth","StandardDalsv7Family","Standard_D2als_v7","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2als_v2","0.0708","0.0322","28.178","54.519774","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported, reduced data disk limit (4 vs 10) must be validated and 54.5% lower PAYG price."
"uksouth","standardDalv6Family","Standard_D2als_v6","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2als_v2","0.0708","0.0322","28.178","54.519774","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 54.5% lower PAYG price."
"uksouth","standardDASv4Family","Standard_D2as_v4","linux","same-vendor | prefer-same-vendor | any-compatible","source-price-missing","No","","Standard_D2ads_v5","","0.1606","","","GBP","High","same usable CPU and memory, AMD/x64 preserved, local temporary storage retained, Premium SSD supported, newer CPU generation and candidate has a usable regional PAYG price, but the source PAYG price is unavailable."
"uksouth","standardDASv5Family","Standard_D2as_v5","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2as_v2","0.1455","0.0644","59.203","55.738832","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 55.7% lower PAYG price."
"uksouth","StandardDasv7Family","Standard_D2as_v7","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_D2ads_v7","0.0803","0.1008","-14.965","-25.529265","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 25.5% higher PAYG price."
"uksouth","standardDAv4Family","Standard_D2a_v4","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_D2_v3","0.0841","0.0879","-2.774","-4.51843","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, local temporary storage retained and 4.5% higher PAYG price."
"uksouth","standardDav6Family","Standard_D2as_v6","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2as_v2","0.0803","0.0644","11.607","19.800747","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 19.8% lower PAYG price."
"uksouth","standardDCadsv6Family","Standard_DC2ads_v6","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2as_v2","0.1008","0.0644","26.572","36.111111","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Linux supports resizing to a VM without local temporary storage, Premium SSD supported and 36.1% lower PAYG price."
"uksouth","standardDCasv6Family","Standard_DC2as_v6","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_B2as_v2","0.0803","0.0644","11.607","19.800747","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 19.8% lower PAYG price."
"uksouth","standardDCSv3Family","Standard_DC1s_v3","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_F1ams_v7","0.0841","0.0788","3.869","6.302021","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 6.3% lower PAYG price."
"uksouth","standardDDCSv3Family","Standard_DC1ds_v3","linux","same-vendor | prefer-same-vendor | any-compatible","recommended","No","","Standard_F1ams_v7","0.0992","0.0788","14.892","20.564516","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Linux supports resizing to a VM without local temporary storage, Premium SSD supported and 20.6% lower PAYG price."
