sep=,
"Region","Family","Source VM","OS","Lifecycle","Current recommendation","Current type","Simple recommendation","Simple outcome","Same target","Source hourly","Current hourly","Simple hourly","Currency","Simple reason"
"uksouth","Standard NCASv3_T4 Family","Standard_NC4as_T4_v3","linux","previousGeneration","Standard_NC4as_T4_v3","KEEP","Standard_NC4as_T4_v3","keep","Yes","0.4659","0.4659","0.4659","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standard NDAMSv4_A100Family","Standard_ND96amsr_A100_v4","linux","current","Standard_ND96amsr_A100_v4","KEEP","","no-compatible-replacement","Yes","31.033","31.033","","GBP","No compatible replacement found"
"uksouth","standardAv2Family","Standard_A1_v2","linux","retirementAnnounced","","MANUAL_REVIEW","","no-compatible-replacement","Yes","0.0311","","","GBP","No compatible replacement found"
"uksouth","standardBasv2Family","Standard_B2ats_v2","linux","current","Standard_B2ats_v2","KEEP","Standard_B2ats_v2","keep","Yes","0.008","0.008","0.008","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardBpsv2Family","Standard_B2pts_v2","linux","current","Standard_B2pts_v2","KEEP","Standard_B2pts_v2","keep","Yes","0.0071","0.0071","0.0071","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardBSFamily","Standard_B1ls","linux","retirementAnnounced","","MANUAL_REVIEW","","no-compatible-replacement","Yes","0.0045","","","GBP","No compatible replacement found"
"uksouth","standardBsv2Family","Standard_B2ts_v2","linux","current","Standard_B2ts_v2","KEEP","Standard_B2ts_v2","keep","Yes","0.0089","0.0089","0.0089","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDADSv5Family","Standard_D2ads_v5","linux","previousGeneration","Standard_D2ads_v5","KEEP","Standard_D2as_v4","cost-optimization","No","0.1606","0.1606","0.0841","GBP","Cost optimization: 47.6% cheaper with equivalent capabilities"
"uksouth","StandardDadsv7Family","Standard_D2ads_v7","linux","current","Standard_D2ads_v7","KEEP","Standard_D2as_v4","cost-optimization","No","0.1008","0.1008","0.0841","GBP","Cost optimization: 16.6% cheaper with equivalent capabilities"
"uksouth","standardDadv6Family","Standard_D2ads_v6","linux","previousGeneration","Standard_D2ads_v6","KEEP","Standard_D2as_v4","cost-optimization","No","0.1008","0.1008","0.0841","GBP","Cost optimization: 16.6% cheaper with equivalent capabilities"
"uksouth","StandardDaldsv7Family","Standard_D2alds_v7","linux","current","Standard_D2alds_v7","KEEP","Standard_D2alds_v7","keep","Yes","0.0841","0.0841","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDaldv6Family","Standard_D2alds_v6","linux","previousGeneration","Standard_D2alds_v6","KEEP","Standard_D2alds_v6","keep","Yes","0.0841","0.0841","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","StandardDalsv7Family","Standard_D2als_v7","linux","current","Standard_D2als_v7","KEEP","Standard_D2als_v7","keep","Yes","0.0708","0.0708","0.0708","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDalv6Family","Standard_D2als_v6","linux","previousGeneration","Standard_D2als_v6","KEEP","Standard_D2als_v6","keep","Yes","0.0708","0.0708","0.0708","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDASv4Family","Standard_D2as_v4","linux","previousGeneration","Standard_D2ads_v7","PERFORMANCE_UPGRADE","Standard_D2as_v4","keep","No","0.0841","0.1008","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDASv5Family","Standard_D2as_v5","linux","previousGeneration","Standard_D2as_v5","KEEP","Standard_D2as_v7","cost-optimization","No","0.1455","0.1455","0.0803","GBP","Cost optimization: 44.8% cheaper with equivalent capabilities"
"uksouth","StandardDasv7Family","Standard_D2as_v7","linux","current","Standard_D2as_v7","KEEP","Standard_D2as_v7","keep","Yes","0.0803","0.0803","0.0803","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDAv4Family","Standard_D2a_v4","linux","previousGeneration","Standard_D2ads_v7","PERFORMANCE_UPGRADE","Standard_D2a_v4","keep","No","0.0841","0.1008","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDav6Family","Standard_D2as_v6","linux","previousGeneration","Standard_D2as_v6","KEEP","Standard_D2as_v6","keep","Yes","0.0803","0.0803","0.0803","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDCadsv6Family","Standard_DC2ads_v6","linux","current","Standard_DC2ads_v6","KEEP","Standard_DC2ads_v6","keep","Yes","0.1008","0.1008","0.1008","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDCasv6Family","Standard_DC2as_v6","linux","current","Standard_DC2as_v6","KEEP","Standard_DC2as_v6","keep","Yes","0.0803","0.0803","0.0803","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDCSv3Family","Standard_DC1s_v3","linux","current","Standard_DC1s_v3","KEEP","Standard_DC1s_v3","keep","Yes","0.0841","0.0841","0.0841","GBP","Keep current VM: supported and no cheaper compatible replacement"
"uksouth","standardDDCSv3Family","Standard_DC1ds_v3","linux","current","Standard_DC1ds_v3","KEEP","Standard_DC1ds_v3","keep","Yes","0.0992","0.0992","0.0992","GBP","Keep current VM: supported and no cheaper compatible replacement"
