Source VM;OS;Recommended VM
Standard_NC4as_T4_v3;linux;
Standard_ND96amsr_A100_v4;linux;
Standard_A1_v2;linux;Standard_F1als_v7
Standard_B2ats_v2;linux;
Standard_B2ats_v2;linux;
Standard_B2pts_v2;linux;
Standard_B1ls;linux;Standard_B2ts_v2
Standard_B2ts_v2;linux;
Standard_B2ts_v2;linux;Standard_B2ats_v2
Standard_D2ads_v5;linux;
Standard_D2ads_v5;linux;Standard_D2ds_v4
Standard_D2ads_v7;linux;Standard_D2as_v7
Standard_D2ads_v6;linux;Standard_D2as_v6
Standard_D2alds_v7;linux;Standard_D2als_v7
Standard_D2alds_v6;linux;Standard_D2als_v6
Standard_D2als_v7;linux;
Standard_D2als_v6;linux;
Standard_D2as_v4;linux;Standard_D2ads_v5
Standard_D2as_v5;linux;Standard_D2as_v6
Standard_D2as_v7;linux;
Standard_D2a_v4;linux;
Standard_D2as_v6;linux;
Standard_DC2ads_v6;linux;Standard_DC2as_v6
Standard_DC2as_v6;linux;
Standard_DC1s_v3;linux;
Standard_DC1ds_v3;linux;Standard_DC1s_v3
Standard_D2ds_v4;linux;
Standard_D2ds_v5;linux;Standard_D2s_v5
Standard_D2ds_v6;linux;Standard_D2as_v7
Standard_D2d_v4;linux;Standard_D2a_v4
Standard_D2d_v5;linux;Standard_D2a_v4
Standard_D1;linux;Standard_F1as_v7
Standard_D2lds_v5;linux;Standard_D2als_v6
Standard_D2lds_v6;linux;Standard_D2als_v7
Standard_D2ls_v5;linux;Standard_D2als_v6
Standard_D2ls_v6;linux;Standard_D2als_v7
Standard_D2nds_v6;linux;Standard_D2as_v7
Standard_D2nlds_v6;linux;Standard_D2als_v7
Standard_D2nls_v6;linux;Standard_D2als_v7
Standard_D2ns_v6;linux;Standard_D2as_v7
Standard_D2pds_v5;linux;Standard_B2ps_v2
Standard_D2pds_v6;linux;Standard_D2ps_v6
Standard_D2plds_v5;linux;Standard_B2pls_v2
Standard_D2plds_v6;linux;Standard_B2pls_v2
Standard_D2pls_v5;linux;Standard_B2pls_v2
Standard_D2pls_v6;linux;Standard_B2pls_v2
Standard_D2ps_v5;linux;Standard_B2ps_v2
Standard_D2ps_v6;linux;Standard_B2ps_v2
Standard_DS1;linux;Standard_F1as_v7
Standard_DS1_v2;linux;Standard_D2ds_v5
Standard_DS2_v2_Promo;linux;
Standard_D2s_v3;linux;
Standard_D2s_v4;linux;Standard_D2as_v6
Standard_D2s_v5;linux;
Standard_D2s_v6;linux;Standard_D2as_v7
Standard_D1_v2;linux;Standard_F1as_v7
Standard_D2_v2_Promo;linux;
Standard_D2_v3;linux;Standard_D2a_v4
Standard_D2_v4;linux;Standard_D2as_v6
Standard_D2_v5;linux;Standard_D2as_v6
Standard_E2ads_v5;linux;
Standard_E2ads_v5;linux;Standard_E2ds_v4
Standard_E2ads_v7;linux;Standard_E2as_v7
Standard_E2ads_v6;linux;Standard_E2as_v6
Standard_E2as_v4;linux;Standard_E2ads_v5
Standard_E2as_v5;linux;Standard_E2as_v6
Standard_E2as_v7;linux;
Standard_E2a_v4;linux;
Standard_E2as_v6;linux;
Standard_E2bds_v5;linux;Standard_E2ds_v4
Standard_E2bs_v5;linux;Standard_E2as_v6
Standard_EC2ads_v6;linux;
Standard_EC2as_v6;linux;
Standard_E2ds_v4;linux;Standard_E2ds_v5
Standard_E2ds_v5;linux;
Standard_E2ds_v5;linux;Standard_E2as_v6
Standard_E2ds_v6;linux;Standard_E2as_v7
Standard_E2d_v4;linux;
Standard_E2d_v5;linux;
Standard_E112iads_v5;linux;Standard_E112ias_v5
Standard_E96ias_v4;linux;
Standard_E112ias_v5;linux;
Standard_E112ibds_v5;linux;Standard_E112iads_v5
Standard_E112ibs_v5;linux;Standard_E112ias_v5
Standard_E104ids_v5;linux;Standard_E104is_v5
Standard_E104id_v5;linux;
Standard_E104is_v5;linux;
Standard_E104i_v5;linux;
Standard_E2nds_v6;linux;Standard_E2as_v7
Standard_E2ns_v6;linux;Standard_E2as_v7
Standard_E2pds_v5;linux;Standard_E2ps_v6
Standard_E2pds_v6;linux;Standard_E2ps_v6
Standard_E2ps_v5;linux;Standard_E2ps_v6
Standard_E2ps_v6;linux;
Standard_E2s_v3;linux;
Standard_E2s_v4;linux;Standard_E2as_v6
Standard_E2s_v5;linux;Standard_E2as_v6
Standard_E2s_v6;linux;Standard_E2as_v7
Standard_E2_v3;linux;Standard_E2a_v4
Standard_E2_v4;linux;Standard_E2as_v6
Standard_E2_v5;linux;Standard_E2as_v6
Standard_F1ads_v7;linux;Standard_F1as_v7
Standard_F1alds_v7;linux;Standard_F1als_v7
Standard_F2als_v6;linux;Standard_D2als_v6
Standard_F1als_v7;linux;
Standard_F1amds_v7;linux;Standard_F1ams_v7
Standard_F2ams_v6;linux;Standard_E2as_v6
Standard_F1ams_v7;linux;
Standard_F2as_v6;linux;Standard_D2as_v6
Standard_F1as_v7;linux;
Standard_F1;linux;Standard_F1als_v7
Standard_F1s;linux;Standard_F1als_v7
Standard_F2s_v2;linux;Standard_D2als_v6
Standard_FX2mds_v2;linux;Standard_FX2ms_v2
Standard_FX2ms_v2;linux;
Standard_G1;linux;Standard_FX2ms_v2
Standard_GS1;linux;Standard_FX2ms_v2
Standard_HB120rs_v3;linux;
Standard_L2aos_v4;linux;Standard_L2as_v4
Standard_L8as_v3;linux;
Standard_L2as_v4;linux;
Standard_L4s;linux;Standard_L4s_v4
Standard_L8s_v2;linux;Standard_L8as_v3
Standard_L8s_v3;linux;Standard_L8as_v3
Standard_L2s_v4;linux;
Standard_M16bds_v3;linux;Standard_E16as_v6
Standard_M16bs_v3;linux;Standard_E16as_v6
Standard_M32dms_v2;linux;
Standard_M12ds_v3;linux;Standard_M12s_v3
Standard_M192ids_v2;linux;Standard_M208s_v2
Standard_M192is_v2;linux;Standard_M208s_v2
