"Region","Source VM","OS","CPU policy","Status","Recommended VM","Source hourly","Recommended hourly","Monthly saving","Saving %","Currency","Confidence","Explanation"
"uksouth","Standard_A1_v2","linux","same-vendor","recommended","Standard_F1","0.0311","0.043","-8.687","-38.263666","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 38.3% higher PAYG price."
"uksouth","Standard_A1_v2","linux","prefer-same-vendor","recommended","Standard_F1","0.0311","0.043","-8.687","-38.263666","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 38.3% higher PAYG price."
"uksouth","Standard_A1_v2","linux","any-compatible","recommended","Standard_F1","0.0311","0.043","-8.687","-38.263666","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 38.3% higher PAYG price."
"uksouth","Standard_A2_v2","linux","same-vendor","recommended","Standard_F2","0.0659","0.0864","-14.965","-31.107739","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 31.1% higher PAYG price."
"uksouth","Standard_A2_v2","linux","prefer-same-vendor","recommended","Standard_F2","0.0659","0.0864","-14.965","-31.107739","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 31.1% higher PAYG price."
"uksouth","Standard_A2_v2","linux","any-compatible","recommended","Standard_F2","0.0659","0.0864","-14.965","-31.107739","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 31.1% higher PAYG price."
"uksouth","Standard_A2m_v2","linux","same-vendor","recommended","Standard_E2a_v4","0.0939","0.1121","-13.286","-19.382322","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 19.4% higher PAYG price."
"uksouth","Standard_A2m_v2","linux","prefer-same-vendor","recommended","Standard_E2a_v4","0.0939","0.1121","-13.286","-19.382322","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 19.4% higher PAYG price."
"uksouth","Standard_A2m_v2","linux","any-compatible","recommended","Standard_E2a_v4","0.0939","0.1121","-13.286","-19.382322","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 19.4% higher PAYG price."
"uksouth","Standard_A4_v2","linux","same-vendor","recommended","Standard_F4","0.1386","0.172","-24.382","-24.098124","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 24.1% higher PAYG price."
"uksouth","Standard_A4_v2","linux","prefer-same-vendor","recommended","Standard_F4","0.1386","0.172","-24.382","-24.098124","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 24.1% higher PAYG price."
"uksouth","Standard_A4_v2","linux","any-compatible","recommended","Standard_F4","0.1386","0.172","-24.382","-24.098124","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 24.1% higher PAYG price."
"uksouth","Standard_A4m_v2","linux","same-vendor","recommended","Standard_E4a_v4","0.197","0.2243","-19.929","-13.857868","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 13.9% higher PAYG price."
"uksouth","Standard_A4m_v2","linux","prefer-same-vendor","recommended","Standard_E4a_v4","0.197","0.2243","-19.929","-13.857868","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 13.9% higher PAYG price."
"uksouth","Standard_A4m_v2","linux","any-compatible","recommended","Standard_E4a_v4","0.197","0.2243","-19.929","-13.857868","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 13.9% higher PAYG price."
"uksouth","Standard_A8_v2","linux","same-vendor","recommended","Standard_F8","0.2902","0.344","-39.274","-18.538939","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 18.5% higher PAYG price."
"uksouth","Standard_A8_v2","linux","prefer-same-vendor","recommended","Standard_F8","0.2902","0.344","-39.274","-18.538939","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 18.5% higher PAYG price."
"uksouth","Standard_A8_v2","linux","any-compatible","recommended","Standard_F8","0.2902","0.344","-39.274","-18.538939","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 18.5% higher PAYG price."
"uksouth","Standard_A8m_v2","linux","same-vendor","recommended","Standard_E8a_v4","0.4137","0.4485","-25.404","-8.411893","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 8.4% higher PAYG price."
"uksouth","Standard_A8m_v2","linux","prefer-same-vendor","recommended","Standard_E8a_v4","0.4137","0.4485","-25.404","-8.411893","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 8.4% higher PAYG price."
"uksouth","Standard_A8m_v2","linux","any-compatible","recommended","Standard_E8a_v4","0.4137","0.4485","-25.404","-8.411893","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved and 8.4% higher PAYG price."
"uksouth","Standard_B12ms","linux","same-vendor","recommended","Standard_NV16as_v4","0.4288","0.8826","-331.274","-105.830224","GBP","Medium","required usable CPU and memory preserved, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 105.8% higher PAYG price."
"uksouth","Standard_B12ms","linux","prefer-same-vendor","recommended","Standard_NV16as_v4","0.4288","0.8826","-331.274","-105.830224","GBP","Medium","required usable CPU and memory preserved, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 105.8% higher PAYG price."
"uksouth","Standard_B12ms","linux","any-compatible","recommended","Standard_NV16as_v4","0.4288","0.8826","-331.274","-105.830224","GBP","Medium","required usable CPU and memory preserved, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 105.8% higher PAYG price."
"uksouth","Standard_B16als_v2","linux","same-vendor","recommended","Standard_B16ls_v2","0.4561","0.5068","-37.011","-11.115983","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.1% higher PAYG price."
"uksouth","Standard_B16als_v2","linux","prefer-same-vendor","recommended","Standard_B16ls_v2","0.4561","0.5068","-37.011","-11.115983","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.1% higher PAYG price."
"uksouth","Standard_B16als_v2","linux","any-compatible","recommended","Standard_B16ls_v2","0.4561","0.5068","-37.011","-11.115983","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.1% higher PAYG price."
"uksouth","Standard_B16as_v2","linux","same-vendor","recommended","Standard_B16ms","0.5152","0.572","-41.464","-11.024845","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.0% higher PAYG price."
"uksouth","Standard_B16as_v2","linux","prefer-same-vendor","recommended","Standard_B16ms","0.5152","0.572","-41.464","-11.024845","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.0% higher PAYG price."
"uksouth","Standard_B16as_v2","linux","any-compatible","recommended","Standard_B16ms","0.5152","0.572","-41.464","-11.024845","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 11.0% higher PAYG price."
"uksouth","Standard_B16ls_v2","linux","same-vendor","recommended","Standard_B16als_v2","0.5068","0.4561","37.011","10.003946","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 10.0% lower PAYG price."
"uksouth","Standard_B16ls_v2","linux","prefer-same-vendor","recommended","Standard_B16als_v2","0.5068","0.4561","37.011","10.003946","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 10.0% lower PAYG price."
"uksouth","Standard_B16ls_v2","linux","any-compatible","recommended","Standard_B16als_v2","0.5068","0.4561","37.011","10.003946","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 10.0% lower PAYG price."
"uksouth","Standard_B16ms","linux","same-vendor","recommended","Standard_D16ds_v4","0.572","0.794","-162.06","-38.811189","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 38.8% higher PAYG price."
"uksouth","Standard_B16ms","linux","prefer-same-vendor","recommended","Standard_D16ds_v4","0.572","0.794","-162.06","-38.811189","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 38.8% higher PAYG price."
"uksouth","Standard_B16ms","linux","any-compatible","recommended","Standard_D16ds_v4","0.572","0.794","-162.06","-38.811189","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, temporary storage requirement preserved, Premium SSD supported and 38.8% higher PAYG price."
"uksouth","Standard_B16pls_v2","linux","same-vendor","recommended","Standard_D16pls_v6","0.4038","0.4341","-22.119","-7.503715","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 7.5% higher PAYG price."
"uksouth","Standard_B16pls_v2","linux","prefer-same-vendor","recommended","Standard_D16pls_v6","0.4038","0.4341","-22.119","-7.503715","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 7.5% higher PAYG price."
"uksouth","Standard_B16pls_v2","linux","any-compatible","recommended","Standard_D16pls_v6","0.4038","0.4341","-22.119","-7.503715","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 7.5% higher PAYG price."
"uksouth","Standard_B16ps_v2","linux","same-vendor","recommended","Standard_D16ps_v6","0.4561","0.4909","-25.404","-7.629906","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 7.6% higher PAYG price."
"uksouth","Standard_B16ps_v2","linux","prefer-same-vendor","recommended","Standard_D16ps_v6","0.4561","0.4909","-25.404","-7.629906","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 7.6% higher PAYG price."
"uksouth","Standard_B16ps_v2","linux","any-compatible","recommended","Standard_D16ps_v6","0.4561","0.4909","-25.404","-7.629906","GBP","Medium","same usable CPU and memory, Arm64 compatibility preserved, Premium SSD supported and 7.6% higher PAYG price."
"uksouth","Standard_B16s_v2","linux","same-vendor","recommended","Standard_B16as_v2","0.572","0.5152","41.464","9.93007","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 9.9% lower PAYG price."
"uksouth","Standard_B16s_v2","linux","prefer-same-vendor","recommended","Standard_B16as_v2","0.572","0.5152","41.464","9.93007","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 9.9% lower PAYG price."
"uksouth","Standard_B16s_v2","linux","any-compatible","recommended","Standard_B16as_v2","0.572","0.5152","41.464","9.93007","GBP","Medium","same usable CPU and memory, x64 compatibility preserved, Premium SSD supported and 9.9% lower PAYG price."
